                                          POR        JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC   ANN
93738,WASHINGTON DULLES,DC            ,196212-201512,-18,-14,-1,17,28,36,41,38,30,15,9,-4,-18
13743,WASHINGTON NAT'L,DC             ,194507-201512,-5,4,14,24,34,47,54,49,39,29,16,3,-5
12834,DAYTONA BEACH,FL                ,193701-201512,15,24,26,32,40,52,60,63,52,39,25,19,15
12835,FORT MYERS,FL                   ,189201-201512,27,30,33,39,50,58,66,65,63,45,34,24,24
12816,GAINESVILLE,FL                  ,196006-201512,10,18,26,32,42,50,61,61,48,32,24,13,10
13889,JACKSONVILLE,FL                 ,193804-201512,7,19,23,31,45,47,61,63,48,33,21,11,7
12836,KEY WEST,FL                     ,194801-201512,41,45,47,48,64,68,69,68,69,60,49,44,41
12839,MIAMI,FL                        ,194801-201512,30,35,32,42,55,60,69,68,68,53,39,30,30
12815,ORLANDO,FL                      ,195206-201512,19,26,25,38,48,53,64,65,60,43,32,20,19
13899,PENSACOLA,FL                    ,194809-201512,5,13,22,33,45,56,61,60,43,32,22,11,5
93805,TALLAHASSEE,FL                  ,194208-201512,6,14,20,29,34,46,59,57,40,29,13,10,6
12842,TAMPA,FL                        ,193902-201512,21,24,29,40,49,53,63,67,57,40,23,18,18
12843,VERO BEACH,FL                   ,194211-201512,21,28,31,36,47,57,67,64,61,45,33,23,21
12844,WEST PALM BEACH,FL              ,193807-201512,27,32,30,43,51,61,68,65,66,46,36,28,27
13873,ATHENS,GA                       ,194406-201512,-4,5,11,26,37,45,55,54,36,24,7,2,-4
13874,ATLANTA,GA                      ,193001-201512,-8,5,10,26,37,46,53,55,36,28,3,0,-8
03820,AUGUSTA,GA                      ,194404-201512,-1,9,12,26,35,47,54,52,36,22,11,5,-1
93842,COLUMBUS,GA                     ,194801-201512,-2,10,16,28,39,44,59,57,38,24,10,4,-2
03813,MACON,GA                        ,194812-201512,-6,9,14,28,40,46,56,55,35,26,10,5,-6
03822,SAVANNAH,GA                     ,194801-201512,3,14,20,28,39,51,61,57,43,28,15,9,3
21504,HILO,HI                         ,194910-201512,54,53,54,58,59,61,62,63,61,62,58,55,53
22521,HONOLULU,HI                     ,194006-201512,52,53,55,56,60,65,66,65,66,61,57,54,52
22516,KAHULUI,HI                      ,195404-201512,48,50,51,54,56,58,58,61,59,58,55,52,48
22536,LIHUE,HI                        ,195002-201512,50,52,51,56,58,61,62,66,65,61,57,52,50
24131,BOISE,ID                        ,194001-201512,-17,-15,6,19,22,31,35,34,23,11,-3,-25,-25
24149,LEWISTON,ID                     ,194801-201512,-22,-15,2,20,23,34,41,41,28,15,-3,-22,-22
24156,POCATELLO,ID                    ,193901-201512,-31,-33,-12,12,20,28,34,30,19,7,-14,-29,-33
94846,CHICAGO,IL                      ,195811-201512,-27,-19,-8,7,24,36,40,41,28,17,1,-25,-27
14923,MOLINE,IL                       ,194306-201512,-27,-28,-19,7,25,39,46,40,30,16,-9,-24,-28
14842,PEORIA,IL                       ,194305-201512,-25,-19,-10,14,25,39,47,41,29,19,-2,-23,-25
94822,ROCKFORD,IL                     ,195101-201512,-27,-24,-11,5,24,37,43,41,27,15,-10,-24,-27
93822,SPRINGFIELD,IL                  ,190101-201512,-21,-24,-12,17,28,39,48,43,32,13,-3,-21,-24
93817,EVANSVILLE,IN                   ,194801-201512,-21,-23,-9,23,28,41,49,43,33,21,-3,-15,-23
14827,FORT WAYNE,IN                   ,193908-201512,-22,-18,-10,7,27,38,44,38,29,19,-1,-18,-22
93819,INDIANAPOLIS,IN                 ,194801-201512,-27,-21,-7,18,28,37,48,41,32,20,-2,-23,-27
14848,SOUTH BEND,IN                   ,189312-201512,-22,-20,-13,11,24,35,42,40,29,12,-7,-18,-22
14933,DES MOINES,IA                   ,194507-201512,-24,-26,-22,9,28,41,47,40,28,14,-4,-22,-26
94908,DUBUQUE,IA                      ,195102-201512,-30,-27,-20,11,21,36,44,40,28,13,-17,-25,-30
14943,SIOUX CITY,IA                   ,194801-201512,-26,-26,-22,-2,25,39,42,37,25,12,-9,-24,-26
94910,WATERLOO,IA                     ,195003-201512,-34,-31,-34,-4,22,38,42,33,22,11,-17,-29,-34
13984,CONCORDIA,KS                    ,188505-201512,-33,-25,-11,14,24,41,46,41,29,14,-15,-26,-33
13985,DODGE CITY,KS                   ,194801-201512,-13,-15,-15,14,25,41,46,47,29,14,0,-21,-21
23065,GOODLAND,KS                     ,189507-201512,-26,-22,-20,0,21,31,40,38,19,1,-12,-27,-27
13996,TOPEKA,KS                       ,194608-201512,-20,-23,-7,10,26,42,43,41,29,19,2,-26,-26
03928,WICHITA,KS                      ,195312-201512,-12,-21,-2,15,31,43,51,48,31,18,1,-16,-21
03889,JACKSON,KY                      ,198101-201512,-18,-8,7,20,32,44,52,45,34,26,13,-13,-18
93820,LEXINGTON,KY                    ,187211-201512,-21,-20,-2,15,26,39,47,42,32,20,-3,-19,-21
93821,LOUISVILLE,KY                   ,194801-201512,-22,-19,-1,22,31,42,50,46,33,23,-1,-15,-22
03816,PADUCAH,KY                      ,194909-201512,-15,-14,-6,21,34,44,48,44,34,22,-3,-10,-15
13970,BATON ROUGE,LA                  ,193001-201512,9,13,20,31,40,53,59,58,43,30,21,8,8
03937,LAKE CHARLES,LA                 ,196111-201512,15,17,23,34,42,56,61,59,47,30,23,11,11
12916,NEW ORLEANS,LA                  ,194801-201512,14,16,25,32,41,50,60,60,42,35,24,11,11
13957,SHREVEPORT,LA                   ,193907-201512,3,2,15,31,39,52,58,53,42,28,16,5,2
14607,CARIBOU,ME                      ,193902-201512,-37,-41,-28,-4,18,30,36,34,23,14,-8,-31,-41
14764,PORTLAND,ME                     ,194012-201512,-26,-39,-21,8,23,33,40,33,23,15,3,-21,-39
93721,BALTIMORE,MD                    ,193907-201512,-7,-3,4,20,32,40,50,45,35,25,13,0,-7
14753,BLUE HILL,MA                    ,189301-201512,-14,-21,-5,6,27,36,44,39,28,20,5,-19,-21
14739,BOSTON,MA                       ,193601-201512,-12,-14,1,16,34,41,50,46,37,25,12,-11,-14
94746,WORCESTER,MA                    ,194806-201512,-19,-12,-6,11,28,36,43,38,30,20,6,-13,-19
94849,ALPENA,MI                       ,191611-201512,-28,-37,-27,-7,20,27,34,29,23,12,-6,-27,-37
94847,DETROIT,MI                      ,195901-201512,-21,-15,-4,10,25,36,41,38,29,17,9,-10,-21
14826,FLINT,MI                        ,194805-201512,-25,-25,-16,6,22,33,40,37,26,19,-7,-13,-25
94860,GRAND RAPIDS,MI                 ,196312-201512,-22,-19,-8,3,22,33,41,39,27,18,5,-18,-22
94814,HOUGHTON LAKE,MI                ,196407-201512,-26,-34,-24,2,21,29,33,29,21,16,-5,-21,-34
14836,LANSING,MI                      ,194801-201512,-29,-25,-15,-2,19,30,37,35,22,15,-5,-18,-29
14840,MUSKEGON,MI                     ,189606-201512,-21,-30,-11,1,22,31,39,36,27,19,-14,-15,-30
14847,SAULT STE. MARIE,MI             ,193101-201512,-36,-37,-28,-2,18,26,36,29,25,16,-10,-31,-37
14913,DULUTH,MN                       ,194801-201512,-39,-39,-29,-5,17,27,35,32,23,8,-23,-34,-39
14918,INTERNATIONAL FALLS,MN          ,190607-201512,-55,-48,-38,-14,8,23,32,27,19,2,-32,-41,-55
14922,MINNEAPOLIS-ST.PAUL,MN          ,193805-201512,-34,-32,-32,2,18,34,43,39,26,13,-17,-29,-34
14925,ROCHESTER,MN                    ,189303-201512,-40,-35,-31,5,21,31,40,32,22,10,-20,-33,-40
14926,SAINT CLOUD,MN                  ,193911-201512,-43,-40,-32,-3,19,32,40,33,18,5,-20,-41,-43
03940,JACKSON,MS                      ,196308-201512,2,10,15,27,36,47,51,54,35,26,17,4,2
13865,MERIDIAN,MS                     ,194406-201512,0,8,15,28,38,42,54,53,34,24,16,2,0
93862,TUPELO,MS                       ,196212-201512,-12,4,7,23,30,41,50,50,32,24,11,-3,-12
03945,COLUMBIA,MO                     ,196911-201512,-19,-15,-5,19,29,40,48,42,32,22,0,-20,-20
03947,KANSAS CITY,MO                  ,197210-201512,-17,-19,-10,12,30,42,51,43,31,17,1,-23,-23
13994,ST. LOUIS,MO                    ,193804-201512,-18,-12,-5,22,31,43,51,47,32,22,1,-16,-18
13995,SPRINGFIELD,MO                  ,194008-201512,-13,-17,-8,18,29,42,44,44,30,18,4,-16,-17
24033,BILLINGS,MT                     ,194801-201512,-30,-28,-21,3,14,32,41,35,22,-7,-22,-32,-32
94008,GLASGOW,MT                      ,194801-201512,-50,-38,-29,-4,17,30,41,33,15,-6,-26,-38,-50
24143,GREAT FALLS,MT                  ,193704-201512,-37,-35,-29,-8,12,31,36,30,16,-11,-25,-43,-43
94012,HAVRE,MT                        ,196102-201512,-52,-44,-30,-14,14,29,39,33,18,-21,-30,-50,-52
24144,HELENA,MT                       ,193804-201512,-42,-42,-30,1,17,30,36,28,18,-8,-39,-38,-42
24146,KALISPELL,MT                    ,189905-201512,-38,-36,-29,-5,17,26,30,30,7,-4,-22,-35,-38
24153,MISSOULA,MT                     ,194801-201512,-33,-27,-13,14,21,30,31,30,20,0,-23,-30,-33
14935,GRAND ISLAND,NE                 ,193804-201512,-28,-21,-21,7,23,36,42,40,23,9,-11,-26,-28
14939,LINCOLN,NE                      ,194801-201512,-33,-24,-19,3,24,39,45,39,26,8,-5,-27,-33
14941,NORFOLK,NE                      ,194510-201512,-27,-26,-20,2,24,38,42,40,26,11,-15,-30,-30
24023,NORTH PLATTE,NE                 ,194801-201512,-25,-22,-22,7,18,29,39,35,17,10,-13,-34,-34
14942,OMAHA,NE                        ,194801-201512,-23,-21,-16,5,27,38,44,43,25,13,-9,-23,-23
